"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
832,"P35232","PHB","Prohibitin ",1,"Non-Exosome","0.864"," 0.318 +/- 0.002","-1.651","0.171 +/- 0.011","-2.551",10,49.6
833,"P35249","RFC4","Replication factor C subunit 4 ",1,"Non-Exosome","0.765"," 0.600 +/- 0.080","-0.737","0.848 +/- 0.018","-0.239",2,13.8
834,"P35250-2","RFC2","Isoform 2 of Replication factor C subunit 2 ",1,"Non-Exosome","0.919"," 0.360 +/- 0.015","-1.474","0.340 +/- 0.120","-1.556",4,10
835,"Q7Z406-4","MYH14","Isoform 4 of Myosin-14 ",0.0018,"Non-Exosome","0.914"," 0.687 +/- 0.106","-0.541","0.323 +/- 0.044","-1.631",10,0
836,"M0QY43","MYH14","Myosin-14 (Fragment) ",0.0018,"Non-Exosome","0.905"," 0.732 +/- 0.046","-0.450","0.378 +/- 0.014","-1.402",9,0
837,"Q7Z406-2","MYH14","Isoform 2 of Myosin-14 ",0.0355,"Non-Exosome","0.921"," 0.629 +/- 0.100","-0.668","0.324 +/- 0.060","-1.624",12,0
838,"P35749-2","MYH11","Isoform 2 of Myosin-11 ",0.099,"Non-Exosome","0.901"," 0.749 +/- 0.020","-0.417","0.390 +/- 0.025","-1.359",15,0
838,"Q9UKX3","MYH13","Myosin-13 ",0.4015,"Non-Exosome","0.884"," 0.852 +/- 0.048","-0.230","0.356 +/- 0.090","-1.492",3,2.1
838,"P12883","MYH7","Myosin-7 ",0.6196,"Non-Exosome","0.884"," 0.810 +/- 0.200","-0.304","0.420 +/- 0.030","-1.252",1,1.2
838,"P12882","MYH1","Myosin-1 ",0.9734,"Non-Exosome","0.884"," 0.810 +/- 0.200","-0.304","0.420 +/- 0.030","-1.252",1,1.9
838,"Q9H2M9","RAB3GAP2","Rab3 GTPase-activating protein non-catalytic subunit ",0.9982,"Non-Exosome","0.913"," 0.348 +/- 0.058","-1.525","0.260 +/- 0.060","-1.943",3,1.3
838,"Q7Z406-5","MYH14","Isoform 5 of Myosin-14 ",0.9999,"Non-Exosome","0.914"," 0.687 +/- 0.106","-0.541","0.323 +/- 0.044","-1.631",10,7.8
838,"P35579","MYH9","Myosin-9 ",1,"Non-Exosome","0.924"," 0.598 +/- 0.005","-0.742","0.335 +/- 0.024","-1.577",70,39.6
838,"P35580-2","MYH10","Isoform 2 of Myosin-10 ",1,"Non-Exosome","0.914"," 0.665 +/- 0.052","-0.589","0.383 +/- 0.025","-1.386",17,11
839,"P35606","COPB2","Coatomer subunit beta' ",1,"Non-Exosome","0.906"," 0.720 +/- 0.054","-0.474","0.293 +/- 0.023","-1.769",8,10.8
840,"P35613-3","BSG","Isoform 3 of Basigin ",0.084,"Exosome","0.655"," 1.422 +/- 0.146"," 0.508","0.954 +/- 0.127","-0.068",7,0
840,"P35613-2","BSG","Isoform 2 of Basigin ",1,"Exosome","0.760"," 1.512 +/- 0.119"," 0.596","1.170 +/- 0.125"," 0.226",10,48.3
841,"P35637-2","FUS","Isoform Short of RNA-binding protein FUS ",1,"Non-Exosome","0.899"," 0.386 +/- 0.231","-1.372","0.201 +/- 0.031","-2.313",4,12.8
841,"Q92804-2","TAF15","Isoform Short of TATA-binding protein-associated factor 2N ",1,"Non-Exosome","0.863"," 0.260 +/- 0.120","-1.943","0.203 +/- 0.017","-2.298",2,11.9
842,"P35659","DEK","Protein DEK ",1,"Non-Exosome","0.928"," 0.530 +/- 0.160","-0.916","0.308 +/- 0.084","-1.697",7,21
843,"P35998","PSMC2","26S protease regulatory subunit 7 ",1,"Non-Exosome","0.923"," 0.491 +/- 0.023","-1.027","0.261 +/- 0.044","-1.940",10,24.9
844,"P36578","RPL4","60S ribosomal protein L4 ",1,"Non-Exosome","0.928"," 0.533 +/- 0.117","-0.907","0.318 +/- 0.111","-1.653",11,33.7
845,"K7EJE8","LONP1","Lon protease homolog; mitochondrial ",0.1179,"Non-Exosome","0.905"," 0.401 +/- 0.029","-1.320","0.210 +/- 0.049","-2.251",19,26.4
846,"P36776-2","LONP1","Isoform 2 of Lon protease homolog; mitochondrial ",1,"Non-Exosome","0.905"," 0.401 +/- 0.029","-1.320","0.210 +/- 0.049","-2.251",19,28.7
847,"P36871-2","PGM1","Isoform 2 of Phosphoglucomutase-1 ",1,"Non-Exosome","0.877"," 0.768 +/- 0.122","-0.382","0.482 +/- 0.025","-1.051",7,17.3
848,"G3V5M3","DLST","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex; mitochondrial ",0.0145,"Non-Exosome","0.920"," 0.378 +/- 0.062","-1.402","0.269 +/- 0.016","-1.893",2,0
849,"P36957","DLST","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex; mitochondrial ",1,"Non-Exosome","0.879"," 0.321 +/- 0.031","-1.640","0.187 +/- 0.033","-2.416",8,22.3
850,"Q9BYD6","MRPL1","39S ribosomal protein L1; mitochondrial ",1,"Non-Exosome","0.924"," 0.525 +/- 0.348","-0.928","0.272 +/- 0.118","-1.876",4,16.9
851,"P37108","SRP14","Signal recognition particle 14 kDa protein ",1,"Non-Exosome","0.837"," 0.854 +/- 0.056","-0.228","0.535 +/- 0.005","-0.902",4,44.1
852,"P37235","HPCAL1","Hippocalcin-like protein 1 ",1,"Non-Exosome","0.855"," 0.652 +/- 0.254","-0.618","0.620 +/- 0.234","-0.691",4,40.9
853,"P37837","TALDO1","Transaldolase ",1,"Non-Exosome","0.908"," 0.704 +/- 0.084","-0.507","0.392 +/- 0.082","-1.349",4,22
854,"P38117","ETFB","Electron transfer flavoprotein subunit beta ",1,"Non-Exosome","0.892"," 0.510 +/- 0.036","-0.973","0.191 +/- 0.008","-2.386",9,39.2
855,"Q96E39","RBMXL1","RNA binding motif protein; X-linked-like-1 ",0.9994,"Non-Exosome","0.920"," 0.610 +/- 0.320","-0.713","0.385 +/- 0.205","-1.377",2,11.8
855,"P38159-2","RBMX","Isoform 2 of RNA-binding motif protein; X chromosome ",1,"Non-Exosome","0.874"," 0.356 +/- 0.056","-1.491","0.172 +/- 0.049","-2.535",3,15.6
856,"P38606","ATP6V1A","V-type proton ATPase catalytic subunit A ",1,"Non-Exosome","0.926"," 0.408 +/- 0.081","-1.295","0.302 +/- 0.028","-1.729",5,10.6
857,"P38646","HSPA9","Stress-70 protein; mitochondrial ",1,"Non-Exosome","0.903"," 0.491 +/- 0.054","-1.027","0.205 +/- 0.005","-2.284",18,41.8
858,"P39019","RPS19","40S ribosomal protein S19 ",1,"Non-Exosome","0.810"," 0.437 +/- 0.049","-1.194","0.127 +/- 0.019","-2.977",5,38.6
859,"P39023","RPL3","60S ribosomal protein L3 ",1,"Non-Exosome","0.922"," 0.517 +/- 0.005","-0.951","0.257 +/- 0.006","-1.960",11,35.5
860,"P39060-1","COL18A1","Isoform 2 of Collagen alpha-1(XVIII) chain ",1,"Exosome","0.624"," 1.487 +/- 0.455"," 0.573","0.855 +/- 0.141","-0.226",8,9.3
861,"P39656","DDOST","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit ",1,"Non-Exosome","0.901"," 0.376 +/- 0.016","-1.411","0.208 +/- 0.010","-2.268",6,43.5
862,"P0C0L4-2","C4A","Isoform 2 of Complement C4-A ",1,"Non-Exosome","0.688"," 1.225 +/- 0.545"," 0.293","0.555 +/- 0.145","-0.849",2,2.4
862,"P39748","FEN1","Flap endonuclease 1 ",1,NA,"0.500"," 1.600 +/- 1.060"," 0.678","0.620 +/- 0.430","-0.690",4,12.4
863,"P40121-2","CAPG","Isoform 2 of Macrophage-capping protein ",1,"Non-Exosome","0.861"," 0.810 +/- 0.340","-0.304","0.503 +/- 0.073","-0.991",4,13.2
864,"P40227-2","CCT6A","Isoform 2 of T-complex protein 1 subunit zeta ",1,"Non-Exosome","0.914"," 0.650 +/- 0.113","-0.621","0.280 +/- 0.119","-1.835",9,23.7
865,"P40429","RPL13A","60S ribosomal protein L13a ",1,"Non-Exosome","0.924"," 0.465 +/- 0.091","-1.105","0.262 +/- 0.074","-1.934",4,22.2
866,"P40925-3","MDH1","Isoform 3 of Malate dehydrogenase; cytoplasmic ",1,"Non-Exosome","0.588"," 1.294 +/- 0.148"," 0.372","0.654 +/- 0.438","-0.612",4,20.4
867,"P40926","MDH2","Malate dehydrogenase; mitochondrial ",1,"Non-Exosome","0.900"," 0.385 +/- 0.027","-1.378","0.203 +/- 0.031","-2.301",16,53.8
868,"P40937-2","RFC5","Isoform 2 of Replication factor C subunit 5 ",1,"Non-Exosome","0.860"," 0.620 +/- 0.035","-0.690","0.622 +/- 0.402","-0.684",3,10.2
869,"P40939","HADHA","Trifunctional enzyme subunit alpha; mitochondrial ",1,"Non-Exosome","0.927"," 0.543 +/- 0.084","-0.880","0.303 +/- 0.050","-1.724",15,31.2
870,"H7BZU1","EIF2S3","Eukaryotic translation initiation factor 2 subunit 3 (Fragment) ",0.252,"Non-Exosome","0.904"," 0.539 +/- 0.084","-0.891","0.214 +/- 0.106","-2.226",3,26.2
870,"P41091","EIF2S3","Eukaryotic translation initiation factor 2 subunit 3 ",1,"Non-Exosome","0.886"," 0.687 +/- 0.103","-0.541","0.216 +/- 0.074","-2.214",8,18.9
871,"P41250","GARS","Glycine--tRNA ligase ",1,"Non-Exosome","0.926"," 0.568 +/- 0.069","-0.817","0.343 +/- 0.010","-1.543",8,13
872,"P42126-2","ECI1","Isoform 2 of Enoyl-CoA delta isomerase 1; mitochondrial ",1,"Non-Exosome","0.856"," 0.350 +/- 0.060","-1.515","0.158 +/- 0.032","-2.667",2,8.8
873,"P42166","TMPO","Lamina-associated polypeptide 2; isoform alpha ",1,"Non-Exosome","0.912"," 0.382 +/- 0.012","-1.386","0.232 +/- 0.152","-2.105",4,14.6
873,"P42167","TMPO","Lamina-associated polypeptide 2; isoforms beta/gamma ",1,"Non-Exosome","0.922"," 0.617 +/- 0.041","-0.696","0.341 +/- 0.021","-1.554",5,22.2
874,"P42224-2","STAT1","Isoform Beta of Signal transducer and activator of transcription 1-alpha/beta ",1,"Non-Exosome","0.855"," 0.369 +/- 0.021","-1.439","0.154 +/- 0.000","-2.694",6,8.8
875,"B4DL37","AKR1C3","Aldo-keto reductase family 1 member C3 ",0.0118,"Non-Exosome","0.895"," 0.707 +/- 0.067","-0.501","0.241 +/- 0.086","-2.054",2,0
875,"P17516","AKR1C4","Aldo-keto reductase family 1 member C4 ",0.0167,"Non-Exosome","0.897"," 0.690 +/- 0.050","-0.535","0.239 +/- 0.084","-2.066",3,0
875,"P42330","AKR1C3","Aldo-keto reductase family 1 member C3 ",1,"Non-Exosome","0.897"," 0.690 +/- 0.050","-0.535","0.239 +/- 0.084","-2.066",3,9.7
876,"P42566","EPS15","Epidermal growth factor receptor substrate 15 ",1,"Exosome","0.882"," 2.850 +/- 0.229"," 1.511","1.804 +/- 0.009"," 0.851",23,29.6
877,"Q71UM5","RPS27L","40S ribosomal protein S27-like ",0.9999,"Non-Exosome","0.906"," 0.365 +/- 0.012","-1.452","0.221 +/- 0.016","-2.179",4,38.1
877,"P42677","RPS27","40S ribosomal protein S27 ",1,"Non-Exosome","0.923"," 0.427 +/- 0.003","-1.229","0.262 +/- 0.028","-1.930",4,38.1
878,"Q12768","KIAA0196","WASH complex subunit strumpellin ",0.0059,"Non-Exosome","0.827"," 0.395 +/- 0.055","-1.340","0.135 +/- 0.015","-2.889",2,0
878,"P36404-2","ARL2","Isoform 2 of ADP-ribosylation factor-like protein 2 ",0.0097,"Non-Exosome","0.895"," 0.635 +/- 0.165","-0.655","0.218 +/- 0.098","-2.201",3,0
878,"P36404","ARL2","ADP-ribosylation factor-like protein 2 ",1,"Non-Exosome","0.904"," 0.738 +/- 0.302","-0.438","0.297 +/- 0.110","-1.753",4,14.1
878,"P42704","LRPPRC","Leucine-rich PPR motif-containing protein; mitochondrial ",1,"Non-Exosome","0.862"," 0.326 +/- 0.008","-1.616","0.166 +/- 0.012","-2.589",32,27.6
878,"Q13308-2","PTK7","Isoform 2 of Inactive tyrosine-protein kinase 7 ",1,"Non-Exosome","0.903"," 0.693 +/- 0.115","-0.528","0.432 +/- 0.035","-1.211",4,3.3
878,"Q7L2E3-2","DHX30","Isoform 2 of Putative ATP-dependent RNA helicase DHX30 ",1,"Non-Exosome","0.900"," 0.475 +/- 0.175","-1.074","0.200 +/- 0.000","-2.322",2,2.4
879,"P42765","ACAA2","3-ketoacyl-CoA thiolase; mitochondrial ",1,"Non-Exosome","0.905"," 0.371 +/- 0.046","-1.430","0.217 +/- 0.025","-2.204",6,27.2
880,"P43121","MCAM","Cell surface glycoprotein MUC18 ",1,"Exosome","0.853"," 1.889 +/- 0.152"," 0.918","1.482 +/- 0.450"," 0.568",10,21.1
881,"D6RAY2","MATR3","Matrin-3 (Fragment) ",0.0143,"Non-Exosome","0.915"," 0.415 +/- 0.145","-1.269","0.445 +/- 0.165","-1.168",1,0
881,"P43243","MATR3","Matrin-3 ",1,"Non-Exosome","0.921"," 0.409 +/- 0.052","-1.289","0.260 +/- 0.041","-1.946",9,27.6
882,"P43246","MSH2","DNA mismatch repair protein Msh2 ",1,"Non-Exosome","0.889"," 0.272 +/- 0.112","-1.876","0.279 +/- 0.189","-1.843",3,3.9
883,"P43304-2","GPD2","Isoform 2 of Glycerol-3-phosphate dehydrogenase; mitochondrial ",1,"Non-Exosome","0.913"," 0.380 +/- 0.008","-1.398","0.238 +/- 0.015","-2.073",9,16.6
884,"P43307","SSR1","Translocon-associated protein subunit alpha ",1,"Non-Exosome","0.782"," 0.344 +/- 0.114","-1.541","0.116 +/- 0.006","-3.105",2,7.2
885,"P43487-2","RANBP1","Isoform 2 of Ran-specific GTPase-activating protein ",1,"Non-Exosome","0.917"," 0.555 +/- 0.105","-0.849","0.250 +/- 0.094","-2.002",3,19
886,"P43490","NAMPT","Nicotinamide phosphoribosyltransferase ",1,"Non-Exosome","0.927"," 0.535 +/- 0.037","-0.901","0.366 +/- 0.012","-1.448",15,34.2
887,"P45880-1","VDAC2","Isoform 1 of Voltage-dependent anion-selective channel protein 2 ",1,"Non-Exosome","0.833"," 0.290 +/- 0.022","-1.784","0.151 +/- 0.021","-2.726",8,37.5
888,"O15264","MAPK13","Mitogen-activated protein kinase 13 ",0.9835,"Non-Exosome","0.849"," 0.225 +/- 0.065","-2.152","0.235 +/- 0.005","-2.089",3,5.1
889,"P46060","RANGAP1","Ran GTPase-activating protein 1 ",1,"Non-Exosome","0.914"," 0.520 +/- 0.050","-0.943","0.470 +/- 0.020","-1.089",2,7.3
890,"P46063","RECQL","ATP-dependent DNA helicase Q1 ",1,"Non-Exosome","0.928"," 0.447 +/- 0.107","-1.163","0.293 +/- 0.133","-1.769",4,6.6
891,"P46087-2","NOP2","Isoform 2 of Putative ribosomal RNA methyltransferase NOP2 ",1,"Non-Exosome","0.879"," 0.860 +/- 0.267","-0.218","0.284 +/- 0.058","-1.815",4,12.9
892,"P46459","NSF","Vesicle-fusing ATPase ",1,"Non-Exosome","0.926"," 0.537 +/- 0.030","-0.898","0.291 +/- 0.084","-1.782",8,13.5
893,"Q7Z6Z7-2","HUWE1","Isoform 2 of E3 ubiquitin-protein ligase HUWE1 ",1,"Non-Exosome","0.930"," 0.470 +/- 0.050","-1.089","0.332 +/- 0.142","-1.589",2,2.5
894,"P46734-2","MAP2K3","Isoform 1 of Dual specificity mitogen-activated protein kinase kinase 3 ",1,"Non-Exosome","0.903"," 0.315 +/- 0.055","-1.667","0.250 +/- 0.030","-2.000",2,8.5
895,"P46776","RPL27A","60S ribosomal protein L27a ",1,"Non-Exosome","0.915"," 0.474 +/- 0.028","-1.077","0.230 +/- 0.042","-2.122",5,56.5
896,"P46777","RPL5","60S ribosomal protein L5 ",1,"Non-Exosome","0.899"," 0.439 +/- 0.030","-1.188","0.198 +/- 0.009","-2.339",8,35
897,"P46778","RPL21","60S ribosomal protein L21 ",1,"Non-Exosome","0.901"," 0.498 +/- 0.098","-1.007","0.202 +/- 0.048","-2.304",5,30
898,"P46779-2","RPL28","Isoform 2 of 60S ribosomal protein L28 ",1,"Non-Exosome","0.860"," 0.318 +/- 0.012","-1.651","0.167 +/- 0.010","-2.581",3,32.1
899,"P46781","RPS9","40S ribosomal protein S9 ",1,"Non-Exosome","0.917"," 0.471 +/- 0.021","-1.087","0.237 +/- 0.015","-2.080",10,44.3
900,"P46821","MAP1B","Microtubule-associated protein 1B ",1,"Non-Exosome","0.929"," 0.480 +/- 0.100","-1.059","0.298 +/- 0.102","-1.745",2,1.8
901,"P07741-2","APRT","Isoform 2 of Adenine phosphoribosyltransferase ",1,"Non-Exosome","0.929"," 0.485 +/- 0.029","-1.044","0.298 +/- 0.056","-1.745",4,32.8
902,"P46940","IQGAP1","Ras GTPase-activating-like protein IQGAP1 ",1,"Non-Exosome","0.835"," 0.946 +/- 0.099","-0.079","0.469 +/- 0.095","-1.093",36,26.1
902,"Q86VI3","IQGAP3","Ras GTPase-activating-like protein IQGAP3 ",1,"Non-Exosome","0.839"," 0.820 +/- 0.040","-0.286","0.554 +/- 0.191","-0.853",3,2.3
903,"P46977","STT3A","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ",1,"Non-Exosome","0.908"," 0.446 +/- 0.009","-1.165","0.213 +/- 0.030","-2.233",6,13.9
904,"P47756-2","CAPZB","Isoform 2 of F-actin-capping protein subunit beta ",1,"Non-Exosome","0.907"," 0.661 +/- 0.020","-0.596","0.440 +/- 0.027","-1.186",8,33.1
905,"P47897-2","QARS","Isoform 2 of Glutamine--tRNA ligase ",1,"Non-Exosome","0.867"," 0.413 +/- 0.003","-1.276","0.162 +/- 0.052","-2.626",9,12.8
906,"P47985","UQCRFS1","Cytochrome b-c1 complex subunit Rieske; mitochondrial ",1,"Non-Exosome","0.928"," 0.529 +/- 0.077","-0.918","0.354 +/- 0.144","-1.498",5,16.1
907,"P48047","ATP5O","ATP synthase subunit O; mitochondrial ",1,"Non-Exosome","0.915"," 0.411 +/- 0.062","-1.284","0.233 +/- 0.042","-2.104",7,39.4
908,"P48444","ARCN1","Coatomer subunit delta ",1,"Non-Exosome","0.925"," 0.497 +/- 0.161","-1.008","0.269 +/- 0.065","-1.896",4,13.3
909,"P48509","CD151","CD151 antigen ",1,"Exosome","0.624"," 1.345 +/- 0.580"," 0.428","0.940 +/- 0.330","-0.089",3,17
910,"P48556","PSMD8","26S proteasome non-ATPase regulatory subunit 8 ",1,"Non-Exosome","0.916"," 0.579 +/- 0.001","-0.788","0.252 +/- 0.018","-1.989",3,18.3
911,"P48637","GSS","Glutathione synthetase ",1,"Non-Exosome","0.911"," 0.646 +/- 0.112","-0.631","0.427 +/- 0.028","-1.229",5,11
912,"P07942","LAMB1","Laminin subunit beta-1 ",0.0054,"Non-Exosome","0.923"," 0.530 +/- 0.200","-0.916","0.410 +/- 0.140","-1.286",1,0
912,"E9PCA1","CCT5","T-complex protein 1 subunit epsilon ",0.0849,"Non-Exosome","0.928"," 0.533 +/- 0.043","-0.909","0.315 +/- 0.013","-1.669",13,0
912,"P48643","CCT5","T-complex protein 1 subunit epsilon ",1,"Non-Exosome","0.929"," 0.514 +/- 0.021","-0.959","0.317 +/- 0.030","-1.655",14,28.6
913,"P48729-2","CSNK1A1","Isoform 2 of Casein kinase I isoform alpha ",1,"Non-Exosome","0.688"," 1.157 +/- 0.118"," 0.211","0.596 +/- 0.056","-0.747",6,27.4
913,"P48730-2","CSNK1D","Isoform 2 of Casein kinase I isoform delta ",1,"Exosome","0.711"," 1.669 +/- 0.481"," 0.739","0.934 +/- 0.427","-0.098",6,20
913,"P49674","CSNK1E","Casein kinase I isoform epsilon ",1,"Exosome","0.770"," 1.788 +/- 0.362"," 0.838","1.042 +/- 0.319"," 0.060",6,20
914,"P48739-2","PITPNB","Isoform 2 of Phosphatidylinositol transfer protein beta isoform ",1,"Non-Exosome","0.896"," 0.285 +/- 0.195","-1.811","0.295 +/- 0.125","-1.761",1,20.8
915,"P49189","ALDH9A1","4-trimethylaminobutyraldehyde dehydrogenase ",1,"Non-Exosome","0.923"," 0.424 +/- 0.014","-1.237","0.263 +/- 0.043","-1.928",8,19.3
915,"Q15738","NSDHL","Sterol-4-alpha-carboxylate 3-dehydrogenase; decarboxylating ",1,"Non-Exosome","0.889"," 0.781 +/- 0.247","-0.357","0.261 +/- 0.047","-1.940",3,5.1
916,"Q2VIQ3","KIF4B","Chromosome-associated kinesin KIF4B ",0.0127,"Non-Exosome","0.784"," 1.010 +/- 0.150"," 0.014","0.535 +/- 0.005","-0.902",2,0
916,"O95239-2","KIF4A","Isoform 2 of Chromosome-associated kinesin KIF4A ",1,"Non-Exosome","0.784"," 1.010 +/- 0.150"," 0.014","0.535 +/- 0.005","-0.902",2,1.7
916,"P49321","NASP","Nuclear autoantigenic sperm protein ",1,"Non-Exosome","0.928"," 0.492 +/- 0.058","-1.022","0.293 +/- 0.010","-1.771",7,9.4
916,"Q12904-2","AIMP1","Isoform 2 of Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ",1,"Non-Exosome","0.923"," 0.590 +/- 0.103","-0.762","0.383 +/- 0.050","-1.385",5,21.2
916,"Q9Y496","KIF3A","Kinesin-like protein KIF3A ",1,"Non-Exosome","0.903"," 0.745 +/- 0.415","-0.425","0.370 +/- 0.170","-1.434",2,3.1
917,"P28340","POLD1","DNA polymerase delta catalytic subunit ",0.9996,"Non-Exosome","0.899"," 0.300 +/- 0.160","-1.737","0.258 +/- 0.188","-1.957",2,1.5
917,"P49327","FASN","Fatty acid synthase ",1,"Non-Exosome","0.914"," 0.683 +/- 0.075","-0.549","0.354 +/- 0.017","-1.498",29,14.7
918,"P49368","CCT3","T-complex protein 1 subunit gamma ",1,"Non-Exosome","0.916"," 0.662 +/- 0.103","-0.595","0.307 +/- 0.053","-1.702",11,29
919,"P49411","TUFM","Elongation factor Tu; mitochondrial ",1,"Non-Exosome","0.920"," 0.409 +/- 0.023","-1.290","0.253 +/- 0.051","-1.985",13,45.1
920,"P49419-2","ALDH7A1","Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase ",1,"Non-Exosome","0.927"," 0.539 +/- 0.015","-0.893","0.368 +/- 0.016","-1.444",7,27.8
921,"P49588","AARS","Alanine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.928"," 0.497 +/- 0.063","-1.009","0.364 +/- 0.074","-1.458",5,7.4
922,"P49748-2","ACADVL","Isoform 2 of Very long-chain specific acyl-CoA dehydrogenase; mitochondrial ",1,"Non-Exosome","0.929"," 0.444 +/- 0.103","-1.173","0.337 +/- 0.044","-1.569",16,29.5
923,"P49755","TMED10","Transmembrane emp24 domain-containing protein 10 ",1,"Non-Exosome","0.920"," 0.503 +/- 0.051","-0.991","0.248 +/- 0.021","-2.014",3,22.4
924,"P49756","RBM25","RNA-binding protein 25 ",1,"Non-Exosome","0.929"," 0.490 +/- 0.110","-1.029","0.315 +/- 0.115","-1.667",2,7.5
925,"P49773","HINT1","Histidine triad nucleotide-binding protein 1 ",1,"Non-Exosome","0.878"," 0.734 +/- 0.174","-0.447","0.507 +/- 0.151","-0.981",3,18.3
926,"P49821-2","NDUFV1","Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 1; mitochondrial ",1,"Non-Exosome","0.926"," 0.573 +/- 0.093","-0.803","0.347 +/- 0.017","-1.528",3,15.7
927,"P49840","GSK3A","Glycogen synthase kinase-3 alpha ",1,"Exosome","0.884"," 3.091 +/- 0.084"," 1.628","2.197 +/- 0.092"," 1.136",3,14
927,"P49841-2","GSK3B","Isoform 2 of Glycogen synthase kinase-3 beta ",1,"Exosome","0.880"," 2.208 +/- 0.023"," 1.143","2.077 +/- 0.553"," 1.055",5,16
928,"H0YMU3","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha; mitochondrial (Fragment) ",0.0234,"Non-Exosome","0.929"," 0.446 +/- 0.151","-1.165","0.316 +/- 0.046","-1.664",4,0
928,"P50213","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha; mitochondrial ",1,"Non-Exosome","0.928"," 0.430 +/- 0.134","-1.219","0.313 +/- 0.043","-1.676",5,16.6
929,"P50281","MMP14","Matrix metalloproteinase-14 ",1,"Exosome","0.536"," 1.521 +/- 0.278"," 0.605","0.703 +/- 0.111","-0.508",6,9.6
930,"P31150","GDI1","Rab GDP dissociation inhibitor alpha ",1,"Non-Exosome","0.903"," 0.718 +/- 0.068","-0.477","0.410 +/- 0.064","-1.285",4,10.7
930,"P50395","GDI2","Rab GDP dissociation inhibitor beta ",1,"Non-Exosome","0.740"," 1.006 +/- 0.333"," 0.009","0.615 +/- 0.140","-0.701",9,25.8
931,"P50416-2","CPT1A","Isoform 2 of Carnitine O-palmitoyltransferase 1; liver isoform ",1,"Non-Exosome","0.903"," 0.451 +/- 0.041","-1.150","0.205 +/- 0.050","-2.289",5,7.8
932,"P50454","SERPINH1","Serpin H1 ",1,"Non-Exosome","0.920"," 0.477 +/- 0.065","-1.069","0.247 +/- 0.004","-2.018",10,31.6
933,"P50502","ST13","Hsc70-interacting protein ",1,"Exosome","0.650"," 1.412 +/- 0.314"," 0.497","0.948 +/- 0.336","-0.076",5,17.1
934,"P50552","VASP","Vasodilator-stimulated phosphoprotein ",1,"Non-Exosome","0.849"," 0.995 +/- 0.348","-0.007","0.355 +/- 0.135","-1.494",3,8.9
935,"P50570-4","DNM2","Isoform 4 of Dynamin-2 ",1,"Non-Exosome","0.902"," 0.745 +/- 0.019","-0.425","0.383 +/- 0.035","-1.386",11,11.5
936,"P50990","CCT8","T-complex protein 1 subunit theta ",1,"Non-Exosome","0.921"," 0.619 +/- 0.135","-0.691","0.371 +/- 0.079","-1.430",18,50.9
937,"P50991","CCT4","T-complex protein 1 subunit delta ",1,"Non-Exosome","0.912"," 0.632 +/- 0.036","-0.663","0.259 +/- 0.008","-1.949",13,27.1
938,"P51114-2","FXR1","Isoform 2 of Fragile X mental retardation syndrome-related protein 1 ",1,"Non-Exosome","0.924"," 0.546 +/- 0.366","-0.872","0.396 +/- 0.281","-1.336",3,8.9
939,"P51149","RAB7A","Ras-related protein Rab-7a ",1,"Non-Exosome","0.771"," 1.017 +/- 0.103"," 0.024","0.554 +/- 0.079","-0.851",7,41.1
940,"V9GYA7","DAP3","28S ribosomal protein S29; mitochondrial (Fragment) ",0.0098,"Non-Exosome","0.638"," 1.360 +/- 0.970"," 0.444","0.555 +/- 0.375","-0.849",2,0
940,"P51398-2","DAP3","Isoform 2 of 28S ribosomal protein S29; mitochondrial ",1,"Non-Exosome","0.884"," 0.855 +/- 0.465","-0.226","0.342 +/- 0.162","-1.546",3,12
941,"P51570-2","GALK1","Isoform 2 of Galactokinase ",1,"Non-Exosome","0.913"," 0.408 +/- 0.148","-1.292","0.228 +/- 0.048","-2.131",2,7.9
942,"P51572-2","BCAP31","Isoform 2 of B-cell receptor-associated protein 31 ",1,"Non-Exosome","0.902"," 0.365 +/- 0.001","-1.456","0.212 +/- 0.041","-2.235",6,35.4
943,"P51648-2","ALDH3A2","Isoform 2 of Fatty aldehyde dehydrogenase ",1,"Non-Exosome","0.896"," 0.380 +/- 0.030","-1.396","0.198 +/- 0.088","-2.336",5,17.8
944,"P51659-2","HSD17B4","Isoform 2 of Peroxisomal multifunctional enzyme type 2 ",1,"Non-Exosome","0.899"," 0.341 +/- 0.024","-1.553","0.215 +/- 0.018","-2.218",4,11.2
