"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"P22090","40S ribosomal protein S4; Y isoform 1 ","RPS4Y1",1040," 0.398 +/- 0.102","-1.329","0.256 +/- 0.074","-1.966","Non-Exosome","0.919"
"P62701","40S ribosomal protein S4; X isoform ","RPS4X",1040," 0.333 +/- 0.042","-1.585","0.235 +/- 0.024","-2.088","Non-Exosome","0.904"
"P62714","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform ","PPP2CB",1041," 0.738 +/- 0.278","-0.438","0.265 +/- 0.035","-1.916","Non-Exosome","0.897"
"P62750","60S ribosomal protein L23a ","RPL23A",1042," 0.328 +/- 0.044","-1.606","0.180 +/- 0.008","-2.478","Non-Exosome","0.874"
"P62753","40S ribosomal protein S6 ","RPS6",1043," 0.834 +/- 0.015","-0.262","0.454 +/- 0.028","-1.139","Non-Exosome","0.869"
"P62805","Histone H4 ","HIST1H4A",1044," 0.359 +/- 0.005","-1.478","0.157 +/- 0.016","-2.671","Non-Exosome","0.856"
"O95716","Ras-related protein Rab-3D ","RAB3D",1045," 0.880 +/- 0.080","-0.184","0.552 +/- 0.005","-0.858","Non-Exosome","0.820"
"Q96E17","Ras-related protein Rab-3C ","RAB3C",1045," 0.870 +/- 0.070","-0.201","0.545 +/- 0.001","-0.876","Non-Exosome","0.826"
"Q5JT25-2","Isoform 2 of Ras-related protein Rab-41 ","RAB41",1045," 0.860 +/- 0.103","-0.218","0.551 +/- 0.023","-0.860","Non-Exosome","0.827"
"E9PLD0","Ras-related protein Rab-1B ","RAB1B",1045," 0.563 +/- 0.006","-0.828","0.350 +/- 0.041","-1.514","Non-Exosome","0.926"
"Q92928","Putative Ras-related protein Rab-1C ","RAB1C",1045," 0.691 +/- 0.051","-0.533","0.427 +/- 0.045","-1.229","Non-Exosome","0.904"
"P51159","Ras-related protein Rab-27A ","RAB27A",1045," 0.917 +/- 0.084","-0.125","0.578 +/- 0.005","-0.791","Non-Exosome","0.795"
"Q6IQ22","Ras-related protein Rab-12 ","RAB12",1045," 0.885 +/- 0.116","-0.177","0.562 +/- 0.020","-0.830","Non-Exosome","0.814"
"P20340-2","Isoform 2 of Ras-related protein Rab-6A ","RAB6A",1045," 0.842 +/- 0.085","-0.248","0.540 +/- 0.012","-0.889","Non-Exosome","0.837"
"Q8WUD1","Ras-related protein Rab-2B ","RAB2B",1045," 0.442 +/- 0.048","-1.176","0.218 +/- 0.108","-2.201","Non-Exosome","0.909"
"P20339","Ras-related protein Rab-5A ","RAB5A",1045," 0.617 +/- 0.026","-0.698","0.332 +/- 0.054","-1.589","Non-Exosome","0.922"
"P51148-2","Isoform 2 of Ras-related protein Rab-5C ","RAB5C",1045," 0.635 +/- 0.025","-0.655","0.359 +/- 0.047","-1.478","Non-Exosome","0.919"
"P51153","Ras-related protein Rab-13 ","RAB13",1045," 0.622 +/- 0.010","-0.685","0.370 +/- 0.024","-1.435","Non-Exosome","0.920"
"P61006","Ras-related protein Rab-8A ","RAB8A",1045," 0.737 +/- 0.032","-0.439","0.483 +/- 0.011","-1.051","Non-Exosome","0.883"
"P61019-2","Isoform 2 of Ras-related protein Rab-2A ","RAB2A",1045," 0.494 +/- 0.088","-1.017","0.244 +/- 0.098","-2.034","Non-Exosome","0.919"
"P61026","Ras-related protein Rab-10 ","RAB10",1045," 0.763 +/- 0.000","-0.390","0.435 +/- 0.002","-1.201","Non-Exosome","0.890"
"P61106","Ras-related protein Rab-14 ","RAB14",1045," 0.801 +/- 0.161","-0.320","0.482 +/- 0.059","-1.052","Non-Exosome","0.869"
"P61225","Ras-related protein Rap-2b ","RAP2B",1045," 2.042 +/- 0.648"," 1.030","2.677 +/- 1.103"," 1.420","Exosome","0.864"
"P61586","Transforming protein RhoA ","RHOA",1045," 0.779 +/- 0.068","-0.360","0.460 +/- 0.064","-1.120","Non-Exosome","0.880"
"P62820","Ras-related protein Rab-1A ","RAB1A",1045," 0.684 +/- 0.052","-0.548","0.421 +/- 0.035","-1.248","Non-Exosome","0.906"
"Q15286","Ras-related protein Rab-35 ","RAB35",1045," 0.909 +/- 0.041","-0.138","0.619 +/- 0.057","-0.692","Non-Exosome","0.776"
"Q8IXI1","Mitochondrial Rho GTPase 2 ","RHOT2",1045," 1.710 +/- 1.620"," 0.774","0.815 +/- 0.385","-0.295","Exosome","0.658"
"Q92930","Ras-related protein Rab-8B ","RAB8B",1045," 0.736 +/- 0.032","-0.443","0.475 +/- 0.013","-1.075","Non-Exosome","0.886"
"Q9BZG1","Ras-related protein Rab-34 ","RAB34",1045," 0.922 +/- 0.095","-0.117","0.559 +/- 0.013","-0.838","Non-Exosome","0.802"
"Q9H0U4","Ras-related protein Rab-1B ","RAB1B",1045," 0.691 +/- 0.051","-0.533","0.427 +/- 0.045","-1.229","Non-Exosome","0.904"
"F5H018","GTP-binding nuclear protein Ran (Fragment) ","RAN",1046," 0.621 +/- 0.054","-0.688","0.320 +/- 0.094","-1.643","Non-Exosome","0.921"
"H0YFC6","GTP-binding nuclear protein Ran (Fragment) ","RAN",1046," 0.618 +/- 0.008","-0.694","0.296 +/- 0.000","-1.756","Non-Exosome","0.920"
"P62826","GTP-binding nuclear protein Ran ","RAN",1046," 0.621 +/- 0.054","-0.688","0.320 +/- 0.094","-1.643","Non-Exosome","0.921"
"P62829","60S ribosomal protein L23 ","RPL23",1047," 0.372 +/- 0.068","-1.427","0.230 +/- 0.000","-2.120","Non-Exosome","0.909"
"P62851","40S ribosomal protein S25 ","RPS25",1048," 0.352 +/- 0.007","-1.508","0.216 +/- 0.057","-2.209","Non-Exosome","0.901"
"H7C5J5","Guanine nucleotide-binding protein subunit beta-4 (Fragment) ","GNB4",1049," 1.023 +/- 0.390"," 0.033","0.440 +/- 0.083","-1.186","Non-Exosome","0.820"
"P62873-2","Isoform 2 of Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 ","GNB1",1049," 1.148 +/- 0.089"," 0.199","0.611 +/- 0.087","-0.710","Non-Exosome","0.681"
"P62879","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 ","GNB2",1049," 1.045 +/- 0.072"," 0.064","0.623 +/- 0.098","-0.683","Non-Exosome","0.717"
"P62888","60S ribosomal protein L30 ","RPL30",1050," 1.340 +/- 0.570"," 0.422","0.828 +/- 0.572","-0.272","Exosome","0.558"
"P62899","60S ribosomal protein L31 ","RPL31",1051," 0.770 +/- 0.170","-0.377","0.369 +/- 0.064","-1.439","Non-Exosome","0.898"
"P62910","60S ribosomal protein L32 ","RPL32",1052," 0.538 +/- 0.244","-0.894","0.435 +/- 0.045","-1.201","Non-Exosome","0.919"
"P62913-2","Isoform 2 of 60S ribosomal protein L11 ","RPL11",1053," 0.376 +/- 0.038","-1.412","0.170 +/- 0.044","-2.555","Non-Exosome","0.873"
"P62917","60S ribosomal protein L8 ","RPL8",1054," 0.276 +/- 0.076","-1.858","0.102 +/- 0.032","-3.286","Non-Exosome","0.728"
"F5H284","Peptidyl-prolyl cis-trans isomerase A-like 4D ","PPIAL4D",1055," 0.841 +/- 0.002","-0.250","0.491 +/- 0.096","-1.027","Non-Exosome","0.856"
"P62937","Peptidyl-prolyl cis-trans isomerase A ","PPIA",1055," 0.853 +/- 0.103","-0.230","0.510 +/- 0.059","-0.973","Non-Exosome","0.846"
"P62942","Peptidyl-prolyl cis-trans isomerase FKBP1A ","FKBP1A",1056," 1.477 +/- 0.417"," 0.562","1.027 +/- 0.167"," 0.038","Exosome","0.706"
"P62979","Ubiquitin-40S ribosomal protein S27a ","RPS27A",1057," 2.081 +/- 0.135"," 1.057","1.829 +/- 0.170"," 0.871","Exosome","0.875"
"P62993-2","Isoform 2 of Growth factor receptor-bound protein 2 ","GRB2",1058," 1.045 +/- 0.195"," 0.064","0.845 +/- 0.125","-0.243","Non-Exosome","0.566"
"P17081","Rho-related GTP-binding protein RhoQ ","RHOQ",1059," 1.329 +/- 0.079"," 0.411","0.912 +/- 0.235","-0.132","Exosome","0.604"
"P60763","Ras-related C3 botulinum toxin substrate 3 ","RAC3",1059," 1.515 +/- 0.163"," 0.599","0.946 +/- 0.084","-0.080","Exosome","0.681"
"P15153","Ras-related C3 botulinum toxin substrate 2 ","RAC2",1059," 1.334 +/- 0.066"," 0.416","0.944 +/- 0.046","-0.084","Exosome","0.623"
"P60953","Cell division control protein 42 homolog ","CDC42",1059," 1.391 +/- 0.136"," 0.476","0.878 +/- 0.137","-0.187","Exosome","0.607"
"P63000-2","Isoform B of Ras-related C3 botulinum toxin substrate 1 ","RAC1",1059," 1.494 +/- 0.050"," 0.579","0.923 +/- 0.018","-0.116","Exosome","0.661"
"P84095","Rho-related GTP-binding protein RhoG ","RHOG",1059," 1.180 +/- 0.173"," 0.238","0.717 +/- 0.081","-0.480","Non-Exosome","0.591"
"P63010-2","Isoform 2 of AP-2 complex subunit beta ","AP2B1",1060," 1.187 +/- 0.033"," 0.247","0.633 +/- 0.038","-0.660","Non-Exosome","0.649"
"Q10567-2","Isoform B of AP-1 complex subunit beta-1 ","AP1B1",1060," 0.904 +/- 0.048","-0.146","0.496 +/- 0.060","-1.013","Non-Exosome","0.837"
"P63167","Dynein light chain 1; cytoplasmic ","DYNLL1",1061," 1.105 +/- 0.055"," 0.145","0.638 +/- 0.080","-0.648","Non-Exosome","0.681"
"Q96FJ2","Dynein light chain 2; cytoplasmic ","DYNLL2",1061," 1.302 +/- 0.110"," 0.380","0.758 +/- 0.031","-0.401","Non-Exosome","0.506"
"P63173","60S ribosomal protein L38 ","RPL38",1062," 0.358 +/- 0.014","-1.480","0.198 +/- 0.024","-2.335","Non-Exosome","0.893"
"P63208","S-phase kinase-associated protein 1 ","SKP1",1063," 0.405 +/- 0.045","-1.304","0.195 +/- 0.075","-2.358","Non-Exosome","0.896"
"P63220","40S ribosomal protein S21 ","RPS21",1064," 0.558 +/- 0.128","-0.841","0.530 +/- 0.270","-0.916","Non-Exosome","0.897"
"Q6IS14","Eukaryotic translation initiation factor 5A-1-like ","EIF5AL1",1065," 0.365 +/- 0.011","-1.452","0.243 +/- 0.030","-2.043","Non-Exosome","0.912"
"P63241-2","Isoform 2 of Eukaryotic translation initiation factor 5A-1 ","EIF5A",1065," 0.404 +/- 0.018","-1.306","0.262 +/- 0.035","-1.934","Non-Exosome","0.921"
"P63244","Guanine nucleotide-binding protein subunit beta-2-like 1 ","GNB2L1",1066," 0.610 +/- 0.052","-0.713","0.269 +/- 0.046","-1.894","Non-Exosome","0.916"
"C9J5V9","Nuclease-sensitive element-binding protein 1 (Fragment) ","YBX1",1067," 0.860 +/- 0.180","-0.218","0.810 +/- 0.170","-0.304","Non-Exosome","0.681"
"P67809","Nuclease-sensitive element-binding protein 1 ","YBX1",1067," 0.772 +/- 0.268","-0.372","0.700 +/- 0.280","-0.515","Non-Exosome","0.783"
"P67812-2","Isoform 2 of Signal peptidase complex catalytic subunit SEC11A ","SEC11A",1068," 0.415 +/- 0.039","-1.270","0.172 +/- 0.016","-2.537","Non-Exosome","0.878"
"P06276","Cholinesterase ","BCHE",1069," 0.353 +/- 0.045","-1.500","0.193 +/- 0.003","-2.374","Non-Exosome","0.889"
"P68104","Elongation factor 1-alpha 1 ","EEF1A1",1069," 0.415 +/- 0.002","-1.268","0.208 +/- 0.028","-2.265","Non-Exosome","0.904"
"Q05639","Elongation factor 1-alpha 2 ","EEF1A2",1069," 0.393 +/- 0.001","-1.348","0.192 +/- 0.029","-2.383","Non-Exosome","0.893"
"M0QYM7","Tubulin beta-4A chain (Fragment) ","TUBB4A",1070," 0.652 +/- 0.189","-0.617","0.335 +/- 0.103","-1.579","Non-Exosome","0.918"
"E9PBJ4","Tubulin beta chain ","TUBB",1070," 0.485 +/- 0.042","-1.043","0.282 +/- 0.076","-1.826","Non-Exosome","0.926"
"P04350","Tubulin beta-4A chain ","TUBB4A",1070," 0.541 +/- 0.069","-0.886","0.281 +/- 0.030","-1.831","Non-Exosome","0.924"
"Q9H4B7","Tubulin beta-1 chain ","TUBB1",1070," 0.457 +/- 0.034","-1.130","0.247 +/- 0.006","-2.020","Non-Exosome","0.920"
"P07437","Tubulin beta chain ","TUBB",1070," 0.529 +/- 0.040","-0.918","0.285 +/- 0.014","-1.813","Non-Exosome","0.925"
"P68371","Tubulin beta-4B chain ","TUBB4B",1070," 0.524 +/- 0.048","-0.933","0.269 +/- 0.012","-1.892","Non-Exosome","0.923"
"Q13509","Tubulin beta-3 chain ","TUBB3",1070," 0.528 +/- 0.049","-0.921","0.289 +/- 0.012","-1.793","Non-Exosome","0.926"
"Q9BUF5","Tubulin beta-6 chain ","TUBB6",1070," 0.497 +/- 0.038","-1.010","0.247 +/- 0.012","-2.016","Non-Exosome","0.919"
"P68400","Casein kinase II subunit alpha ","CSNK2A1",1071," 0.453 +/- 0.014","-1.143","0.225 +/- 0.028","-2.149","Non-Exosome","0.913"
"P68431","Histone H3.1 ","HIST1H3A",1072," 0.257 +/- 0.013","-1.960","0.093 +/- 0.003","-3.433","Non-Exosome","0.691"
"E9PEW8","Hemoglobin subunit delta (Fragment) ","HBD",1073," 1.260 +/- 0.206"," 0.334","0.389 +/- 0.131","-1.362","Non-Exosome","0.762"
"P68871","Hemoglobin subunit beta ","HBB",1073," 1.121 +/- 0.094"," 0.165","0.560 +/- 0.031","-0.836","Non-Exosome","0.726"
"P69849","Nodal modulator 3 ","NOMO3",1074," 0.390 +/- 0.063","-1.360","0.222 +/- 0.036","-2.169","Non-Exosome","0.909"
"P02008","Hemoglobin subunit zeta ","HBZ",1075," 1.876 +/- 0.164"," 0.907","1.074 +/- 0.064"," 0.102","Exosome","0.790"
"G3V1N2","HCG1745306; isoform CRA_a ","HBA2",1075," 2.396 +/- 0.298"," 1.261","1.248 +/- 0.090"," 0.320","Exosome","0.849"
"P69905","Hemoglobin subunit alpha ","HBA1",1075," 2.135 +/- 0.231"," 1.094","1.144 +/- 0.073"," 0.194","Exosome","0.825"
"Q99650-2","Isoform 2 of Oncostatin-M-specific receptor subunit beta ","OSMR",1076," 0.325 +/- 0.045","-1.621","0.480 +/- 0.070","-1.059","Non-Exosome","0.887"
"Q99650","Oncostatin-M-specific receptor subunit beta ","OSMR",1077," 0.442 +/- 0.072","-1.176","0.565 +/- 0.015","-0.824","Non-Exosome","0.889"
"P78344-2","Isoform 2 of Eukaryotic translation initiation factor 4 gamma 2 ","EIF4G2",1077," 0.448 +/- 0.186","-1.160","0.294 +/- 0.182","-1.765","Non-Exosome","0.927"
"P78347-2","Isoform 2 of General transcription factor II-I ","GTF2I",1078," 0.412 +/- 0.038","-1.280","0.228 +/- 0.062","-2.131","Non-Exosome","0.913"
"P78371-2","Isoform 2 of T-complex protein 1 subunit beta ","CCT2",1079," 0.612 +/- 0.069","-0.708","0.294 +/- 0.014","-1.764","Non-Exosome","0.920"
"P78386","Keratin; type II cuticular Hb5 ","KRT85",1080," 0.445 +/- 0.175","-1.168","0.190 +/- 0.040","-2.396","Non-Exosome","0.893"
"P78417","Glutathione S-transferase omega-1 ","GSTO1",1081," 0.854 +/- 0.023","-0.228","0.415 +/- 0.090","-1.268","Non-Exosome","0.874"
"P78504","Protein jagged-1 ","JAG1",1082," 2.717 +/- 0.187"," 1.442","1.808 +/- 0.308"," 0.854","Exosome","0.883"
"Q96EQ8","E3 ubiquitin-protein ligase RNF125 ","RNF125",1083," 0.215 +/- 0.015","-2.218","0.385 +/- 0.325","-1.377","Non-Exosome","0.831"
"P78527","DNA-dependent protein kinase catalytic subunit ","PRKDC",1084," 0.510 +/- 0.024","-0.972","0.285 +/- 0.034","-1.813","Non-Exosome","0.926"
"P80303-2","Isoform 2 of Nucleobindin-2 ","NUCB2",1085," 0.535 +/- 0.125","-0.902","0.325 +/- 0.075","-1.621","Non-Exosome","0.928"
"P80723","Brain acid soluble protein 1 ","BASP1",1086," 1.065 +/- 0.055"," 0.091","0.673 +/- 0.217","-0.571","Non-Exosome","0.675"
"P82675","28S ribosomal protein S5; mitochondrial ","MRPS5",1087," 0.373 +/- 0.243","-1.421","0.378 +/- 0.228","-1.402","Non-Exosome","0.918"
"O15198-2","Isoform B of Mothers against decapentaplegic homolog 9 ","SMAD9",1088," 1.104 +/- 0.024"," 0.142","0.664 +/- 0.434","-0.591","Non-Exosome","0.664"
"P84022","Mothers against decapentaplegic homolog 3 ","SMAD3",1089," 1.105 +/- 0.023"," 0.144","0.653 +/- 0.423","-0.615","Non-Exosome","0.671"
"J3QL15","Ribosomal protein L19 (Fragment) ","RPL19",1090," 0.734 +/- 0.184","-0.447","0.404 +/- 0.274","-1.308","Non-Exosome","0.901"
"P84098","60S ribosomal protein L19 ","RPL19",1091," 0.789 +/- 0.129","-0.342","0.507 +/- 0.170","-0.980","Non-Exosome","0.864"
"P98088","Mucin-5AC (Fragments) ","MUC5AC",1092," 3.748 +/- 0.212"," 1.906","2.309 +/- 0.129"," 1.207","Exosome","0.877"
"Q9HC84","Mucin-5B ","MUC5B",1092," 2.981 +/- 0.324"," 1.576","2.062 +/- 0.271"," 1.044","Exosome","0.884"
"P98160","Basement membrane-specific heparan sulfate proteoglycan core protein ","HSPG2",1093," 1.534 +/- 0.295"," 0.617","0.692 +/- 0.144","-0.530","Exosome","0.533"
"Q00059","Transcription factor A; mitochondrial ","TFAM",1094," 0.447 +/- 0.199","-1.161","0.187 +/- 0.069","-2.416","Non-Exosome","0.891"
"Q00325-2","Isoform B of Phosphate carrier protein; mitochondrial ","SLC25A3",1095," 0.304 +/- 0.005","-1.719","0.161 +/- 0.006","-2.631","Non-Exosome","0.849"
"P53675","Clathrin heavy chain 2 ","CLTCL1",1096," 0.783 +/- 0.020","-0.352","0.341 +/- 0.033","-1.552","Non-Exosome","0.897"
"Q00610-2","Isoform 2 of Clathrin heavy chain 1 ","CLTC",1096," 0.745 +/- 0.029","-0.425","0.370 +/- 0.009","-1.433","Non-Exosome","0.903"
"Q00688","Peptidyl-prolyl cis-trans isomerase FKBP3 ","FKBP3",1097," 0.591 +/- 0.071","-0.759","0.321 +/- 0.035","-1.638","Non-Exosome","0.924"
"Q00765","Receptor expression-enhancing protein 5 ","REEP5",1098," 0.327 +/- 0.083","-1.614","0.195 +/- 0.085","-2.358","Non-Exosome","0.884"
"Q5SNV9-2","Isoform 2 of Uncharacterized protein C1orf167 ","C1orf167",1099," 0.365 +/- 0.105","-1.454","0.150 +/- 0.050","-2.737","Non-Exosome","0.848"
"Q00839-2","Isoform Short of Heterogeneous nuclear ribonucleoprotein U ","HNRNPU",1099," 0.477 +/- 0.123","-1.068","0.313 +/- 0.009","-1.676","Non-Exosome","0.929"
"Q01082","Spectrin beta chain; non-erythrocytic 1 ","SPTBN1",1100," 0.598 +/- 0.003","-0.742","0.306 +/- 0.019","-1.710","Non-Exosome","0.922"
"Q01433-2","Isoform Ex1A-2-3 of AMP deaminase 2 ","AMPD2",1101," 0.558 +/- 0.022","-0.841","0.192 +/- 0.022","-2.383","Non-Exosome","0.887"
"Q01518-2","Isoform 2 of Adenylyl cyclase-associated protein 1 ","CAP1",1102," 0.717 +/- 0.143","-0.480","0.422 +/- 0.056","-1.246","Non-Exosome","0.901"
"Q01628","Interferon-induced transmembrane protein 3 ","IFITM3",1103," 0.641 +/- 0.061","-0.641","0.546 +/- 0.136","-0.872","Non-Exosome","0.882"
"Q01650","Large neutral amino acids transporter small subunit 1 ","SLC7A5",1104," 0.810 +/- 0.036","-0.304","0.375 +/- 0.054","-1.415","Non-Exosome","0.890"
"P17858","ATP-dependent 6-phosphofructokinase; liver type ","PFKL",1105," 0.650 +/- 0.027","-0.621","0.452 +/- 0.057","-1.146","Non-Exosome","0.905"
"Q01813","ATP-dependent 6-phosphofructokinase; platelet type ","PFKP",1105," 0.706 +/- 0.013","-0.502","0.311 +/- 0.052","-1.685","Non-Exosome","0.910"
"Q01973","Tyrosine-protein kinase transmembrane receptor ROR1 ","ROR1",1106," 1.468 +/- 0.242"," 0.553","0.829 +/- 0.246","-0.271","Exosome","0.603"
"Q02218-2","Isoform 2 of 2-oxoglutarate dehydrogenase; mitochondrial ","OGDH",1107," 0.589 +/- 0.106","-0.764","0.276 +/- 0.059","-1.856","Non-Exosome","0.920"
"Q9H583","HEAT repeat-containing protein 1 ","HEATR1",1108," 0.552 +/- 0.180","-0.856","0.204 +/- 0.099","-2.295","Non-Exosome","0.896"
"Q02241","Kinesin-like protein KIF23 ","KIF23",1109," 0.709 +/- 0.134","-0.497","0.355 +/- 0.100","-1.494","Non-Exosome","0.910"
"Q13332-2","Isoform PTPS-MEA of Receptor-type tyrosine-protein phosphatase S ","PTPRS",1109," 0.646 +/- 0.204","-0.630","0.229 +/- 0.055","-2.129","Non-Exosome","0.899"
"Q02241-2","Isoform 2 of Kinesin-like protein KIF23 ","KIF23",1109," 0.656 +/- 0.186","-0.608","0.342 +/- 0.112","-1.546","Non-Exosome","0.917"
"Q02252-2","Isoform 2 of Methylmalonate-semialdehyde dehydrogenase [acylating]; mitochondrial ","ALDH6A1",1110," 0.270 +/- 0.140","-1.889","0.160 +/- 0.010","-2.644","Non-Exosome","0.833"
"Q02543","60S ribosomal protein L18a ","RPL18A",1111," 0.504 +/- 0.108","-0.987","0.289 +/- 0.008","-1.791","Non-Exosome","0.927"
"P36507","Dual specificity mitogen-activated protein kinase kinase 2 ","MAP2K2",1112," 0.585 +/- 0.085","-0.773","0.310 +/- 0.100","-1.690","Non-Exosome","0.924"
"Q02750","Dual specificity mitogen-activated protein kinase kinase 1 ","MAP2K1",1112," 0.426 +/- 0.076","-1.232","0.207 +/- 0.037","-2.271","Non-Exosome","0.904"
"Q02790","Peptidyl-prolyl cis-trans isomerase FKBP4 ","FKBP4",1113," 0.437 +/- 0.003","-1.195","0.262 +/- 0.018","-1.930","Non-Exosome","0.923"
"Q02809","Procollagen-lysine;2-oxoglutarate 5-dioxygenase 1 ","PLOD1",1114," 0.452 +/- 0.048","-1.147","0.165 +/- 0.055","-2.599","Non-Exosome","0.870"
"Q02818","Nucleobindin-1 ","NUCB1",1115," 0.398 +/- 0.032","-1.331","0.245 +/- 0.005","-2.029","Non-Exosome","0.917"
"Q02978","Mitochondrial 2-oxoglutarate/malate carrier protein ","SLC25A11",1116," 0.415 +/- 0.043","-1.268","0.301 +/- 0.053","-1.733","Non-Exosome","0.926"
"Q03135-2","Isoform 2 of Caveolin-1 ","CAV1",1117," 0.715 +/- 0.005","-0.484","0.406 +/- 0.071","-1.301","Non-Exosome","0.904"
"Q03135","Caveolin-1 ","CAV1",1117," 0.991 +/- 0.086","-0.013","0.486 +/- 0.044","-1.042","Non-Exosome","0.813"
"Q03405","Urokinase plasminogen activator surface receptor ","PLAUR",1118," 1.031 +/- 0.241"," 0.044","0.712 +/- 0.218","-0.491","Non-Exosome","0.664"
"Q04206-2","Isoform 2 of Transcription factor p65 ","RELA",1119," 0.592 +/- 0.102","-0.755","0.268 +/- 0.082","-1.902","Non-Exosome","0.918"
"Q6MZP7-2","Isoform 2 of Protein lin-54 homolog ","LIN54",1120," 0.345 +/- 0.010","-1.535","0.135 +/- 0.010","-2.889","Non-Exosome","0.821"
"O43432-3","Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 ","EIF4G3",1121," 0.303 +/- 0.017","-1.724","0.119 +/- 0.002","-3.072","Non-Exosome","0.779"
"Q04637-3","Isoform B of Eukaryotic translation initiation factor 4 gamma 1 ","EIF4G1",1122," 0.375 +/- 0.029","-1.414","0.261 +/- 0.042","-1.938","Non-Exosome","0.918"
"Q04837","Single-stranded DNA-binding protein; mitochondrial ","SSBP1",1123," 0.527 +/- 0.095","-0.924","0.241 +/- 0.031","-2.056","Non-Exosome","0.916"
"O94808","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 ","GFPT2",1124," 0.474 +/- 0.070","-1.076","0.296 +/- 0.040","-1.759","Non-Exosome","0.928"
"Q06210-2","Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 ","GFPT1",1125," 0.524 +/- 0.007","-0.933","0.269 +/- 0.028","-1.895","Non-Exosome","0.923"
"Q06323-2","Isoform 2 of Proteasome activator complex subunit 1 ","PSME1",1126," 0.810 +/- 0.348","-0.303","0.559 +/- 0.271","-0.840","Non-Exosome","0.839"
"Q07020","60S ribosomal protein L18 ","RPL18",1127," 0.470 +/- 0.005","-1.089","0.279 +/- 0.009","-1.843","Non-Exosome","0.926"
"Q07021","Complement component 1 Q subcomponent-binding protein; mitochondrial ","C1QBP",1128," 0.375 +/- 0.005","-1.415","0.250 +/- 0.000","-2.000","Non-Exosome","0.915"
"Q07065","Cytoskeleton-associated protein 4 ","CKAP4",1129," 0.469 +/- 0.003","-1.093","0.258 +/- 0.049","-1.953","Non-Exosome","0.923"
"Q07955-2","Isoform ASF-2 of Serine/arginine-rich splicing factor 1 ","SRSF1",1130," 0.368 +/- 0.040","-1.442","0.211 +/- 0.005","-2.243","Non-Exosome","0.901"
"Q07960","Rho GTPase-activating protein 1 ","ARHGAP1",1131," 0.426 +/- 0.067","-1.231","0.224 +/- 0.033","-2.158","Non-Exosome","0.912"
"Q08209-2","Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform ","PPP3CA",1132," 0.502 +/- 0.002","-0.993","0.141 +/- 0.071","-2.824","Non-Exosome","0.832"
"Q08211","ATP-dependent RNA helicase A ","DHX9",1133," 0.466 +/- 0.066","-1.102","0.264 +/- 0.036","-1.922","Non-Exosome","0.924"
"Q08257","Quinone oxidoreductase ","CRYZ",1134," 0.376 +/- 0.130","-1.413","0.309 +/- 0.101","-1.694","Non-Exosome","0.922"
"Q08380","Galectin-3-binding protein ","LGALS3BP",1135," 5.644 +/- 1.356"," 2.497","0.996 +/- 0.237","-0.005","Exosome","0.740"
"Q08431-3","Isoform 3 of Lactadherin ","MFGE8",1136," 3.614 +/- 0.249"," 1.854","2.711 +/- 0.149"," 1.439","Exosome","0.877"
"Q08431","Lactadherin ","MFGE8",1137," 3.778 +/- 0.074"," 1.918","2.828 +/- 0.023"," 1.500","Exosome","0.876"
"Q06278","Aldehyde oxidase ","AOX1",1138," 1.160 +/- 0.070"," 0.214","0.608 +/- 0.065","-0.719","Non-Exosome","0.678"
"Q08722-2","Isoform OA3-293 of Leukocyte surface antigen CD47 ","CD47",1138," 1.401 +/- 0.139"," 0.487","0.843 +/- 0.041","-0.247","Exosome","0.589"
"Q08945","FACT complex subunit SSRP1 ","SSRP1",1139," 0.496 +/- 0.078","-1.013","0.242 +/- 0.029","-2.048","Non-Exosome","0.918"
"Q08AM6","Protein VAC14 homolog ","VAC14",1140," 0.622 +/- 0.108","-0.684","0.282 +/- 0.102","-1.824","Non-Exosome","0.917"
"Q08J23-2","Isoform 2 of tRNA (cytosine(34)-C(5))-methyltransferase ","NSUN2",1141," 0.419 +/- 0.054","-1.254","0.155 +/- 0.049","-2.688","Non-Exosome","0.858"
"Q09161","Nuclear cap-binding protein subunit 1 ","NCBP1",1142," 0.465 +/- 0.145","-1.105","0.350 +/- 0.240","-1.515","Non-Exosome","0.928"
"Q09666","Neuroblast differentiation-associated protein AHNAK ","AHNAK",1143," 0.771 +/- 0.089","-0.376","0.429 +/- 0.011","-1.221","Non-Exosome","0.889"
"Q10469","Alpha-1;6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase ","MGAT2",1144," 0.892 +/- 0.028","-0.165","0.344 +/- 0.051","-1.539","Non-Exosome","0.875"
"Q12769","Nuclear pore complex protein Nup160 ","NUP160",1145," 0.462 +/- 0.078","-1.115","0.165 +/- 0.055","-2.599","Non-Exosome","0.870"
