"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"P17516","AKR1C4","Aldo-keto reductase family 1 member C4 ","GO:0005829 Cytosol","Non-Exosome"
"P42330","AKR1C3","Aldo-keto reductase family 1 member C3 ","","Non-Exosome"
"P42566","EPS15","Epidermal growth factor receptor substrate 15 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"Q71UM5","RPS27L","40S ribosomal protein S27-like ","","Non-Exosome"
"P42677","RPS27","40S ribosomal protein S27 ","GO:0005829 Cytosol","Non-Exosome"
"Q12768","KIAA0196","WASH complex subunit strumpellin ","","Non-Exosome"
"P36404-2","ARL2","Isoform 2 of ADP-ribosylation factor-like protein 2 ","GO:0005829 Cytosol","Non-Exosome"
"P36404","ARL2","ADP-ribosylation factor-like protein 2 ","GO:0005829 Cytosol","Non-Exosome"
"P42704","LRPPRC","Leucine-rich PPR motif-containing protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q13308-2","PTK7","Isoform 2 of Inactive tyrosine-protein kinase 7 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q7L2E3-2","DHX30","Isoform 2 of Putative ATP-dependent RNA helicase DHX30 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P42765","ACAA2","3-ketoacyl-CoA thiolase; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P43121","MCAM","Cell surface glycoprotein MUC18 ","GO:0005886 Plasma Membrane","Exosome"
"D6RAY2","MATR3","Matrin-3 (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"P43243","MATR3","Matrin-3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"P43246","MSH2","DNA mismatch repair protein Msh2 ","","Non-Exosome"
"P43304-2","GPD2","Isoform 2 of Glycerol-3-phosphate dehydrogenase; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P43307","SSR1","Translocon-associated protein subunit alpha ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P43487-2","RANBP1","Isoform 2 of Ran-specific GTPase-activating protein ","","Non-Exosome"
"P43490","NAMPT","Nicotinamide phosphoribosyltransferase ","GO:0005829 Cytosol","Non-Exosome"
"P45880-1","VDAC2","Isoform 1 of Voltage-dependent anion-selective channel protein 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O15264","MAPK13","Mitogen-activated protein kinase 13 ","","Non-Exosome"
"P46060","RANGAP1","Ran GTPase-activating protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P46063","RECQL","ATP-dependent DNA helicase Q1 ","","Non-Exosome"
"P46087-2","NOP2","Isoform 2 of Putative ribosomal RNA methyltransferase NOP2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P46459","NSF","Vesicle-fusing ATPase ","GO:0005829 Cytosol","Non-Exosome"
"Q7Z6Z7-2","HUWE1","Isoform 2 of E3 ubiquitin-protein ligase HUWE1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P46734-2","MAP2K3","Isoform 1 of Dual specificity mitogen-activated protein kinase kinase 3 ","","Non-Exosome"
"P46776","RPL27A","60S ribosomal protein L27a ","GO:0005829 Cytosol","Non-Exosome"
"P46777","RPL5","60S ribosomal protein L5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P46778","RPL21","60S ribosomal protein L21 ","GO:0005829 Cytosol","Non-Exosome"
"P46779-2","RPL28","Isoform 2 of 60S ribosomal protein L28 ","GO:0005829 Cytosol","Non-Exosome"
"P46781","RPS9","40S ribosomal protein S9 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P46821","MAP1B","Microtubule-associated protein 1B ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P07741-2","APRT","Isoform 2 of Adenine phosphoribosyltransferase ","GO:0005829 Cytosol","Non-Exosome"
"P46940","IQGAP1","Ras GTPase-activating-like protein IQGAP1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"Q86VI3","IQGAP3","Ras GTPase-activating-like protein IQGAP3 ","","Non-Exosome"
"P46977","STT3A","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P47756-2","CAPZB","Isoform 2 of F-actin-capping protein subunit beta ","","Non-Exosome"
"P47897-2","QARS","Isoform 2 of Glutamine--tRNA ligase ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0005829 Cytosol","Non-Exosome"
"P47985","UQCRFS1","Cytochrome b-c1 complex subunit Rieske; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P48047","ATP5O","ATP synthase subunit O; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P48444","ARCN1","Coatomer subunit delta ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P48509","CD151","CD151 antigen ","GO:0005886 Plasma Membrane","Exosome"
"P48556","PSMD8","26S proteasome non-ATPase regulatory subunit 8 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P48637","GSS","Glutathione synthetase ","","Non-Exosome"
"P07942","LAMB1","Laminin subunit beta-1 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"E9PCA1","CCT5","T-complex protein 1 subunit epsilon ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P48643","CCT5","T-complex protein 1 subunit epsilon ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P48729-2","CSNK1A1","Isoform 2 of Casein kinase I isoform alpha ","GO:0005829 Cytosol","Non-Exosome"
"P48730-2","CSNK1D","Isoform 2 of Casein kinase I isoform delta ","GO:0005829 Cytosol","Exosome"
"P49674","CSNK1E","Casein kinase I isoform epsilon ","GO:0005829 Cytosol","Exosome"
"P48739-2","PITPNB","Isoform 2 of Phosphatidylinositol transfer protein beta isoform ","","Non-Exosome"
"P49189","ALDH9A1","4-trimethylaminobutyraldehyde dehydrogenase ","GO:0005829 Cytosol","Non-Exosome"
"Q15738","NSDHL","Sterol-4-alpha-carboxylate 3-dehydrogenase; decarboxylating ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q2VIQ3","KIF4B","Chromosome-associated kinesin KIF4B ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O95239-2","KIF4A","Isoform 2 of Chromosome-associated kinesin KIF4A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P49321","NASP","Nuclear autoantigenic sperm protein ","","Non-Exosome"
"Q12904-2","AIMP1","Isoform 2 of Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q9Y496","KIF3A","Kinesin-like protein KIF3A ","","Non-Exosome"
"P28340","POLD1","DNA polymerase delta catalytic subunit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P49327","FASN","Fatty acid synthase ","GO:0005829 Cytosol","Non-Exosome"
"P49368","CCT3","T-complex protein 1 subunit gamma ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P49411","TUFM","Elongation factor Tu; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P49419-2","ALDH7A1","Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase ","","Non-Exosome"
"P49588","AARS","Alanine--tRNA ligase; cytoplasmic ","","Non-Exosome"
"P49748-2","ACADVL","Isoform 2 of Very long-chain specific acyl-CoA dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P49755","TMED10","Transmembrane emp24 domain-containing protein 10 ","GO:0031090 Organelle Membrane","Non-Exosome"
"P49756","RBM25","RNA-binding protein 25 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P49773","HINT1","Histidine triad nucleotide-binding protein 1 ","","Non-Exosome"
"P49821-2","NDUFV1","Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 1; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P49840","GSK3A","Glycogen synthase kinase-3 alpha ","GO:0005829 Cytosol","Exosome"
"P49841-2","GSK3B","Isoform 2 of Glycogen synthase kinase-3 beta ","GO:0005829 Cytosol","Exosome"
"H0YMU3","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha; mitochondrial (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P50213","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P50281","MMP14","Matrix metalloproteinase-14 ","","Non-Exosome"
"P31150","GDI1","Rab GDP dissociation inhibitor alpha ","","Non-Exosome"
"P50395","GDI2","Rab GDP dissociation inhibitor beta ","","Non-Exosome"
"P50416-2","CPT1A","Isoform 2 of Carnitine O-palmitoyltransferase 1; liver isoform ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P50454","SERPINH1","Serpin H1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P50502","ST13","Hsc70-interacting protein ","","Exosome"
"P50552","VASP","Vasodilator-stimulated phosphoprotein ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P50570-4","DNM2","Isoform 4 of Dynamin-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P50990","CCT8","T-complex protein 1 subunit theta ","GO:0005829 Cytosol","Non-Exosome"
"P50991","CCT4","T-complex protein 1 subunit delta ","GO:0005829 Cytosol","Non-Exosome"
"P51114-2","FXR1","Isoform 2 of Fragile X mental retardation syndrome-related protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P51149","RAB7A","Ras-related protein Rab-7a ","","Non-Exosome"
"V9GYA7","DAP3","28S ribosomal protein S29; mitochondrial (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P51398-2","DAP3","Isoform 2 of 28S ribosomal protein S29; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P51570-2","GALK1","Isoform 2 of Galactokinase ","GO:0005829 Cytosol","Non-Exosome"
"P51572-2","BCAP31","Isoform 2 of B-cell receptor-associated protein 31 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P51648-2","ALDH3A2","Isoform 2 of Fatty aldehyde dehydrogenase ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P51659-2","HSD17B4","Isoform 2 of Peroxisomal multifunctional enzyme type 2 ","GO:0070013 Intracellular Organelle Lumen","Non-Exosome"
"P51665","PSMD7","26S proteasome non-ATPase regulatory subunit 7 ","","Non-Exosome"
"P51970","NDUFA8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P52272-2","HNRNPM","Isoform 2 of Heterogeneous nuclear ribonucleoprotein M ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P52292","KPNA2","Importin subunit alpha-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P52565","ARHGDIA","Rho GDP-dissociation inhibitor 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"M0R0E4","PSG9","Pregnancy-specific beta-1-glycoprotein 9 ","","Non-Exosome"
"P52566","ARHGDIB","Rho GDP-dissociation inhibitor 2 ","","Non-Exosome"
"P52701-3","MSH6","Isoform 3 of DNA mismatch repair protein Msh6 ","","Non-Exosome"
"P52907","CAPZA1","F-actin-capping protein subunit alpha-1 ","","Non-Exosome"
"P52948-5","NUP98","Isoform 5 of Nuclear pore complex protein Nup98-Nup96 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P53007","SLC25A1","Tricarboxylate transport protein; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P53350","PLK1","Serine/threonine-protein kinase PLK1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P53367-2","ARFIP1","Isoform A of Arfaptin-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol","Non-Exosome"
"P53396-2","ACLY","Isoform 2 of ATP-citrate synthase ","GO:0005829 Cytosol","Non-Exosome"
"P53597","SUCLG1","Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P53618","COPB1","Coatomer subunit beta ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P53990-2","IST1","Isoform 2 of IST1 homolog ","","Exosome"
"P53992","SEC24C","Protein transport protein Sec24C ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P53999","SUB1","Activated RNA polymerase II transcriptional coactivator p15 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P54136","RARS","Arginine--tRNA ligase; cytoplasmic ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P14415","ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P54709","ATP1B3","Sodium/potassium-transporting ATPase subunit beta-3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P54725-2","RAD23A","Isoform 2 of UV excision repair protein RAD23 homolog A ","","Non-Exosome"
"P54727","RAD23B","UV excision repair protein RAD23 homolog B ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P30085","CMPK1","UMP-CMP kinase ","","Non-Exosome"
"P54819-2","AK2","Isoform 2 of Adenylate kinase 2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P55011","SLC12A2","Solute carrier family 12 member 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P55060-3","CSE1L","Isoform 3 of Exportin-2 ","","Non-Exosome"
"O43933","PEX1","Peroxisome biogenesis factor 1 ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol","Non-Exosome"
"P04114","APOB","Apolipoprotein B-100 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0031904 Endosome Lumen; GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Exosome"
"P43686-2","PSMC4","Isoform 2 of 26S protease regulatory subunit 6B ","GO:0005829 Cytosol","Non-Exosome"
"P55072","VCP","Transitional endoplasmic reticulum ATPase ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62191","PSMC1","26S protease regulatory subunit 4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62333","PSMC6","26S protease regulatory subunit 10B ","","Non-Exosome"
"Q9Y4W6","AFG3L2","AFG3-like protein 2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P55084","HADHB","Trifunctional enzyme subunit beta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P55145","MANF","Mesencephalic astrocyte-derived neurotrophic factor ","","Non-Exosome"
"P55196-1","MLLT4","Isoform 2 of Afadin ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"C9J1B1","NAP1L4","Nucleosome assembly protein 1-like 4 (Fragment) ","","Non-Exosome"
"Q99733-2","NAP1L4","Isoform 2 of Nucleosome assembly protein 1-like 4 ","","Non-Exosome"
"P55209-2","NAP1L1","Isoform 2 of Nucleosome assembly protein 1-like 1 ","","Non-Exosome"
"P55263-2","ADK","Isoform 2 of Adenosine kinase ","GO:0005829 Cytosol","Non-Exosome"
"P55268","LAMB2","Laminin subunit beta-2 ","GO:0031012 Extracellular Matrix","Non-Exosome"
"P55735-2","SEC13","Isoform 2 of Protein SEC13 homolog ","","Non-Exosome"
"P55786","NPEPPS","Puromycin-sensitive aminopeptidase ","GO:0005829 Cytosol","Non-Exosome"
"P55884-2","EIF3B","Isoform 2 of Eukaryotic translation initiation factor 3 subunit B ","GO:0005829 Cytosol","Non-Exosome"
"P56192","MARS","Methionine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P57088","TMEM33","Transmembrane protein 33 ","","Non-Exosome"
"Q86VV8-3","RTTN","Isoform 3 of Rotatin ","","Non-Exosome"
"P57678","GEMIN4","Gem-associated protein 4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P57740-2","NUP107","Isoform 2 of Nuclear pore complex protein Nup107 ","","Non-Exosome"
"P58335-4","ANTXR2","Isoform 4 of Anthrax toxin receptor 2 ","GO:0005886 Plasma Membrane","Exosome"
"P59998-3","ARPC4","Isoform 3 of Actin-related protein 2/3 complex subunit 4 ","","Non-Exosome"
"P60033","CD81","CD81 antigen ","GO:0005886 Plasma Membrane","Exosome"
"P60174-1","TPI1","Isoform 2 of Triosephosphate isomerase ","GO:0005829 Cytosol","Non-Exosome"
"P60228","EIF3E","Eukaryotic translation initiation factor 3 subunit E ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"H0YI43","MYL6","Myosin light polypeptide 6 (Fragment) ","","Non-Exosome"
"P60660-2","MYL6","Isoform Smooth muscle of Myosin light polypeptide 6 ","","Non-Exosome"
"B8ZZJ2","ACTG2","Actin; gamma-enteric smooth muscle ","","Non-Exosome"
"Q9BYX7","POTEKP","Putative beta-actin-like protein 3 ","GO:0005829 Cytosol","Non-Exosome"
"K7EM38","ACTG1","Actin; cytoplasmic 2; N-terminally processed (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"I3L4N8","ACTG1","Actin; cytoplasmic 2 (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P60709","ACTB","Actin; cytoplasmic 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P68032","ACTC1","Actin; alpha cardiac muscle 1 ","","Non-Exosome"
"P38919","EIF4A3","Eukaryotic initiation factor 4A-III ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P60842","EIF4A1","Eukaryotic initiation factor 4A-I ","GO:0005829 Cytosol","Non-Exosome"
"Q14240-2","EIF4A2","Isoform 2 of Eukaryotic initiation factor 4A-II ","GO:0005829 Cytosol","Non-Exosome"
"P60866-2","RPS20","Isoform 2 of 40S ribosomal protein S20 ","GO:0005829 Cytosol","Non-Exosome"
"P60900-2","PSMA6","Isoform 2 of Proteasome subunit alpha type-6 ","","Non-Exosome"
"P61088","UBE2N","Ubiquitin-conjugating enzyme E2 N ","","Non-Exosome"
"P61158","ACTR3","Actin-related protein 3 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P61160","ACTR2","Actin-related protein 2 ","","Non-Exosome"
"P61160-2","ACTR2","Isoform 2 of Actin-related protein 2 ","","Non-Exosome"
"P42025","ACTR1B","Beta-centractin ","","Non-Exosome"
"P61163","ACTR1A","Alpha-centractin ","GO:0005829 Cytosol","Non-Exosome"
"P61201-2","COPS2","Isoform 2 of COP9 signalosome complex subunit 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P61204","ARF3","ADP-ribosylation factor 3 ","","Non-Exosome"
"P61221","ABCE1","ATP-binding cassette sub-family E member 1 ","","Non-Exosome"
"P01116-2","KRAS","Isoform 2B of GTPase KRas ","GO:0005886 Plasma Membrane","Exosome"
"P01111","NRAS","GTPase NRas ","GO:0005886 Plasma Membrane","Exosome"
"P01112","HRAS","GTPase HRas ","GO:0005886 Plasma Membrane","Exosome"
"P61224-3","RAP1B","Isoform 3 of Ras-related protein Rap-1b ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P62834","RAP1A","Ras-related protein Rap-1A ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P61247","RPS3A","40S ribosomal protein S3a ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P61254","RPL26","60S ribosomal protein L26 ","GO:0005829 Cytosol","Non-Exosome"
"P61289-2","PSME3","Isoform 2 of Proteasome activator complex subunit 3 ","","Non-Exosome"
"P61313","RPL15","60S ribosomal protein L15 ","GO:0005829 Cytosol","Non-Exosome"
"P61353","RPL27","60S ribosomal protein L27 ","GO:0005829 Cytosol","Non-Exosome"
"P61421","ATP6V0D1","V-type proton ATPase subunit d 1 ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P61604","HSPE1","10 kDa heat shock protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P61619","SEC61A1","Protein transport protein Sec61 subunit alpha isoform 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P61803","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P61956-2","SUMO2","Isoform 2 of Small ubiquitin-related modifier 2 ","","Non-Exosome"
"P61978-2","HNRNPK","Isoform 2 of Heterogeneous nuclear ribonucleoprotein K ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P10301","RRAS","Ras-related protein R-Ras ","GO:0005886 Plasma Membrane","Non-Exosome"
"P62070-3","RRAS2","Isoform 3 of Ras-related protein R-Ras2 ","GO:0005886 Plasma Membrane",NA
"P62081","RPS7","40S ribosomal protein S7 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62136","PPP1CA","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62140","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P62158","CALM1","Calmodulin ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P62195-2","PSMC5","Isoform 2 of 26S protease regulatory subunit 8 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P62241","RPS8","40S ribosomal protein S8 ","GO:0005829 Cytosol","Non-Exosome"
"P62244","RPS15A","40S ribosomal protein S15a ","GO:0005829 Cytosol","Non-Exosome"
"H3BN98","","Uncharacterized protein (Fragment) ","","Non-Exosome"
"M0R3H0","RPS16","40S ribosomal protein S16 ","GO:0005829 Cytosol","Non-Exosome"
"Q6IPX4","RPS16","40S ribosomal protein S16 ","GO:0005829 Cytosol","Non-Exosome"
"P62249","RPS16","40S ribosomal protein S16 ","GO:0005829 Cytosol","Non-Exosome"
"P27348","YWHAQ","14-3-3 protein theta ","","Non-Exosome"
"P31946-2","YWHAB","Isoform Short of 14-3-3 protein beta/alpha ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P61981","YWHAG","14-3-3 protein gamma ","GO:0005829 Cytosol","Non-Exosome"
"P62258","YWHAE","14-3-3 protein epsilon ","GO:0005829 Cytosol","Non-Exosome"
"P63104","YWHAZ","14-3-3 protein zeta/delta ","","Non-Exosome"
"Q04917","YWHAH","14-3-3 protein eta ","","Non-Exosome"
"P62263","RPS14","40S ribosomal protein S14 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62269","RPS18","40S ribosomal protein S18 ","GO:0005829 Cytosol","Non-Exosome"
"Q15751","HERC1","Probable E3 ubiquitin-protein ligase HERC1 ","GO:0005829 Cytosol","Non-Exosome"
"Q15386","UBE3C","Ubiquitin-protein ligase E3C ","","Non-Exosome"
"P62277","RPS13","40S ribosomal protein S13 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62280","RPS11","40S ribosomal protein S11 ","GO:0005829 Cytosol","Non-Exosome"
"P62304","SNRPE","Small nuclear ribonucleoprotein E ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62316","SNRPD2","Small nuclear ribonucleoprotein Sm D2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
